Employee_ID,Employment_Status,Hire_Date,Termination_Date,Total_Tenure_Months,Comp_vs_Market,Final_Salary,Avg_KPI_Career,Promotion_Count,Last_Promotion_Date,Exit_Reason,Attrition_Risk_Score
EMP_000126,Terminated,2018-01-15,2018-07-16,6,0.0616,145000,0.7649,0,,Voluntary_Better_Offer,44.9
EMP_000127,Terminated,2018-01-15,2020-07-16,30,-0.0439,112000,0.6292,0,,Voluntary_Low_Engagement,60.6
EMP_000128,Terminated,2018-01-15,2020-04-15,27,-0.0679,148000,0.6023,0,,Voluntary_Personal,64.6
EMP_000129,Terminated,2018-01-15,2020-04-15,27,-0.0984,106000,0.769,0,,Voluntary_Personal,47.4
EMP_000130,Terminated,2018-01-15,2023-09-15,68,-0.1181,140000,0.8378,0,,Voluntary_Personal,51.6
EMP_000131,Terminated,2018-01-15,2020-03-16,26,0.1524,143000,0.7501,0,,Voluntary_Better_Offer,51.9
EMP_000132,Terminated,2018-01-15,2020-07-16,30,-0.2065,81000,0.6628,0,,Voluntary_Personal,59.4
EMP_000133,Terminated,2018-01-16,2018-07-17,6,0.0365,175000,0.7051,0,,Voluntary_Personal,52.7
EMP_000134,Terminated,2018-01-16,2024-01-16,72,-0.0733,192000,0.899,2,2023-01-16,Voluntary_Personal,38.8
EMP_000135,Terminated,2018-01-16,2019-04-17,15,-0.0553,129000,0.5467,0,,Voluntary_Low_Engagement,59.5
EMP_000136,Terminated,2018-01-16,2020-02-16,25,-0.0492,151000,0.5686,0,,Voluntary_Low_Engagement,58.0
EMP_000137,Terminated,2018-01-16,2020-07-17,30,0.1243,132000,0.8314,1,2019-07-17,Involuntary_Restructure,46.0
EMP_000138,Terminated,2018-01-16,2021-02-15,37,-0.0246,102000,0.7416,0,,Voluntary_Better_Offer,60.2
EMP_000139,Terminated,2018-01-16,2019-09-16,20,-0.0091,167000,0.8241,0,,Voluntary_Personal,50.3
EMP_000140,Terminated,2018-01-16,2018-07-17,6,0.0855,134000,0.6252,0,,Voluntary_Low_Engagement,49.7
EMP_000141,Terminated,2018-01-16,2018-07-17,6,0.1948,125000,0.7982,0,,Voluntary_Personal,39.1
EMP_000142,Terminated,2018-01-16,2021-12-16,47,0.0266,127000,0.6394,0,,Voluntary_Low_Engagement,53.8
EMP_000143,Terminated,2018-01-17,2022-12-17,59,-0.1345,91000,0.7299,0,,Voluntary_Personal,53.7
EMP_000144,Terminated,2018-01-17,2019-01-17,12,0.0759,171000,0.757,0,,Voluntary_Better_Offer,44.7
EMP_000145,Active,2018-01-17,,83,-0.1212,148000,0.754,0,,Still Active,56.7
EMP_000146,Terminated,2018-01-17,2018-07-18,6,-0.0033,168000,0.5806,0,,Voluntary_Low_Engagement,58.6
EMP_000147,Terminated,2018-01-17,2021-09-17,44,-0.0891,93000,0.7384,0,,Voluntary_Better_Offer,59.0
EMP_000148,Terminated,2018-01-17,2022-10-18,57,-0.1664,85000,0.7076,0,,Voluntary_Personal,52.6
EMP_000149,Terminated,2018-01-17,2022-01-17,48,0.0634,179000,0.7694,0,,Voluntary_Better_Offer,45.1
EMP_000150,Terminated,2018-01-17,2019-04-18,15,-0.0249,155000,0.7799,0,,Voluntary_Better_Offer,49.9
EMP_000151,Terminated,2018-01-17,2023-09-17,68,0.1827,216000,0.8077,2,2022-09-17,Voluntary_Better_Offer,43.7
EMP_000152,Terminated,2018-01-17,2024-10-17,81,0.2135,288000,0.882,2,2023-10-18,Voluntary_Personal,33.1
EMP_000153,Terminated,2018-01-18,2018-11-18,10,0.1377,192000,0.8005,0,,Voluntary_Better_Offer,53.0
EMP_000154,Terminated,2018-01-18,2018-08-19,7,-0.1809,96000,0.5638,0,,Voluntary_Low_Engagement,57.1
EMP_000155,Terminated,2018-01-18,2023-01-18,60,-0.1007,106000,0.7141,0,,Voluntary_Personal,54.9
EMP_000156,Terminated,2018-01-18,2021-01-17,36,0.0127,106000,0.6521,0,,Voluntary_Better_Offer,62.5
EMP_000157,Terminated,2018-01-18,2022-04-19,51,0.305,294000,0.9042,2,2021-04-19,Voluntary_Better_Offer,39.3
EMP_000158,Terminated,2018-01-18,2020-06-18,29,0.1017,136000,0.7934,0,,Voluntary_Better_Offer,40.5
EMP_000159,Terminated,2018-01-18,2019-06-19,17,0.0594,178000,0.7746,0,,Voluntary_Personal,50.7
EMP_000160,Terminated,2018-01-18,2019-01-18,12,0.0231,107000,0.8218,0,,Involuntary_Restructure,48.5
EMP_000161,Terminated,2018-01-19,2023-05-21,64,-0.02,163000,0.8171,2,2022-05-20,Voluntary_Personal,49.5
EMP_000162,Terminated,2018-01-19,2021-04-20,39,0.0049,137000,0.7073,0,,Voluntary_Better_Offer,54.5
EMP_000163,Terminated,2018-01-19,2018-07-20,6,-0.1949,95000,0.6158,0,,Voluntary_Better_Offer,61.9
EMP_000164,Terminated,2018-01-19,2019-01-19,12,-0.1293,119000,0.5995,0,,Involuntary_Restructure,64.1
EMP_000165,Terminated,2018-01-19,2021-04-20,39,0.0375,175000,0.8235,0,,Voluntary_Personal,47.2
EMP_000166,Terminated,2018-01-19,2019-04-20,15,0.1359,133000,0.6758,0,,Voluntary_Low_Engagement,53.5
EMP_000167,Terminated,2018-01-19,2018-10-19,9,-0.005,104000,0.423,0,,Voluntary_Low_Engagement,64.8
EMP_000168,Terminated,2018-01-19,2018-12-19,11,0.0394,129000,0.6257,0,,Voluntary_Low_Engagement,52.3
EMP_000169,Terminated,2018-01-20,2020-02-20,25,-0.084,93000,0.6879,0,,Voluntary_Better_Offer,61.7
EMP_000170,Terminated,2018-01-20,2024-07-21,78,-0.0886,168000,0.8293,0,,Voluntary_Better_Offer,49.2
EMP_000171,Terminated,2018-01-20,2023-02-19,61,-0.0106,167000,0.7948,0,,Voluntary_Better_Offer,50.8
EMP_000172,Terminated,2018-01-20,2020-07-21,30,0.1186,188000,0.6897,0,,Voluntary_Better_Offer,55.4
EMP_000173,Terminated,2018-01-20,2020-06-20,29,0.1471,135000,0.6467,0,,Voluntary_Better_Offer,58.9
EMP_000174,Terminated,2018-01-20,2019-12-21,23,0.1102,204000,0.5821,0,,Voluntary_Low_Engagement,53.1
EMP_000175,Terminated,2018-01-20,2021-10-20,45,-0.1078,150000,0.6369,0,,Voluntary_Personal,58.6
EMP_000176,Terminated,2018-01-20,2021-10-20,45,0.0552,194000,0.7055,0,,Voluntary_Low_Engagement,47.6
EMP_000177,Terminated,2018-01-21,2020-12-21,35,0.2116,226000,0.8292,1,2019-12-22,Involuntary_Restructure,39.5
EMP_000178,Terminated,2018-01-21,2022-05-22,52,0.0191,171000,0.769,0,,Voluntary_Personal,51.8
EMP_000179,Terminated,2018-01-21,2018-11-21,10,0.0174,120000,0.7139,0,,Voluntary_Personal,56.2
EMP_000180,Terminated,2018-01-21,2019-05-23,16,0.1705,145000,0.5189,0,,Voluntary_Low_Engagement,62.5
EMP_000181,Terminated,2018-01-21,2024-10-21,81,-0.1761,102000,0.7152,0,,Voluntary_Personal,57.6
EMP_000182,Terminated,2018-01-21,2021-03-22,38,-0.0505,118000,0.805,0,,Voluntary_Personal,48.7
EMP_000183,Terminated,2018-01-21,2020-08-21,31,-0.0965,112000,0.6552,0,,Voluntary_Personal,63.3
EMP_000184,Terminated,2018-01-22,2023-01-22,60,-0.0326,205000,0.8635,2,2022-01-22,Voluntary_Personal,43.2
EMP_000185,Terminated,2018-01-22,2020-03-23,26,-0.1229,92000,0.74,0,,Involuntary_Performance,59.5
EMP_000186,Terminated,2018-01-22,2018-07-23,6,0.1929,148000,0.8079,0,,Voluntary_Personal,43.2
EMP_000187,Terminated,2018-01-22,2021-04-23,39,-0.0405,131000,0.7675,0,,Voluntary_Personal,52.5
EMP_000188,Terminated,2018-01-22,2019-06-23,17,0.0956,115000,0.5735,0,,Voluntary_Low_Engagement,61.4
EMP_000189,Terminated,2018-01-22,2020-06-22,29,0.0109,125000,0.6766,0,,Voluntary_Better_Offer,55.7
EMP_000190,Terminated,2018-01-23,2019-10-24,21,0.1957,125000,0.729,0,,Voluntary_Better_Offer,49.9
EMP_000191,Terminated,2018-01-23,2018-07-24,6,0.0675,112000,0.7786,0,,Voluntary_Personal,50.8
EMP_000192,Terminated,2018-01-23,2021-03-24,38,0.1133,113000,0.8868,0,,Voluntary_Personal,47.4
EMP_000193,Terminated,2018-01-23,2021-02-22,37,-0.0751,97000,0.6493,0,,Involuntary_Performance,60.5
EMP_000194,Terminated,2018-01-23,2019-01-23,12,-0.132,91000,0.598,0,,Involuntary_Performance,68.4
EMP_000195,Terminated,2018-01-23,2024-01-23,72,0.0909,173000,0.7544,0,,Voluntary_Better_Offer,52.7
EMP_000196,Terminated,2018-01-23,2023-04-24,63,-0.0454,130000,0.7052,0,,Voluntary_Better_Offer,56.4
EMP_000197,Terminated,2018-01-24,2022-12-24,59,0.1134,183000,0.9673,2,2021-12-24,Voluntary_Better_Offer,32.2
EMP_000198,Terminated,2018-01-24,2018-07-25,6,0.0437,123000,0.7343,0,,Voluntary_Better_Offer,45.3
EMP_000199,Terminated,2018-01-24,2020-07-25,30,0.0116,138000,0.8178,0,,Voluntary_Personal,46.1
EMP_000200,Terminated,2018-01-24,2020-08-24,31,-0.1472,157000,0.7422,0,,Voluntary_Personal,56.5
EMP_000201,Terminated,2018-01-25,2021-01-24,36,-0.0388,153000,0.5969,0,,Voluntary_Low_Engagement,69.1
EMP_000202,Terminated,2018-01-25,2020-05-26,28,-0.1209,92000,0.6681,0,,Involuntary_Restructure,57.3
EMP_000203,Terminated,2018-01-25,2019-01-25,12,0.1035,137000,0.8612,0,,Involuntary_Restructure,45.2
EMP_000204,Terminated,2018-01-25,2019-12-26,23,0.1698,123000,0.9451,0,,Voluntary_Better_Offer,37.9
EMP_000205,Terminated,2018-01-25,2020-06-25,29,-0.0817,125000,0.6846,0,,Voluntary_Personal,55.0
EMP_000206,Terminated,2018-01-25,2019-11-25,22,0.0141,171000,0.6148,0,,Voluntary_Low_Engagement,57.2
EMP_000207,Terminated,2018-01-25,2018-07-26,6,-0.0402,101000,0.7742,0,,Voluntary_Better_Offer,48.3
EMP_000208,Terminated,2018-01-26,2018-07-27,6,-0.073,156000,0.7192,0,,Voluntary_Better_Offer,61.6
EMP_000209,Terminated,2018-01-26,2022-12-26,59,0.0012,207000,0.9098,2,2021-12-26,Voluntary_Better_Offer,43.2
EMP_000210,Terminated,2018-01-26,2019-06-27,17,-0.0678,127000,0.4326,0,,Voluntary_Low_Engagement,68.4
EMP_000211,Terminated,2018-01-26,2018-10-26,9,-0.2077,126000,0.5151,0,,Involuntary_Performance,74.1
EMP_000212,Terminated,2018-01-26,2019-11-26,22,0.0982,129000,0.7055,0,,Voluntary_Personal,52.7
EMP_000213,Terminated,2018-01-26,2019-07-27,18,-0.1196,148000,0.6103,0,,Voluntary_Low_Engagement,56.2
EMP_000214,Terminated,2018-01-26,2019-07-27,18,-0.2085,133000,0.5564,0,,Voluntary_Low_Engagement,67.1
EMP_000215,Terminated,2018-01-26,2020-07-27,30,0.0345,108000,0.6617,0,,Voluntary_Personal,51.2
EMP_000216,Terminated,2018-01-26,2021-04-27,39,0.0185,120000,0.6785,0,,Voluntary_Personal,64.7
EMP_000217,Active,2018-01-26,,83,0.0025,124000,0.7319,0,,Still Active,54.1
EMP_000218,Terminated,2018-01-27,2019-03-29,14,0.0298,173000,0.7395,0,,Voluntary_Better_Offer,53.9
EMP_000219,Terminated,2018-01-27,2020-08-27,31,0.0087,102000,0.7703,0,,Voluntary_Low_Engagement,66.4
EMP_000220,Terminated,2018-01-27,2021-08-27,43,0.0007,168000,0.636,0,,Voluntary_Personal,60.8
EMP_000221,Terminated,2018-01-27,2019-07-28,18,0.0222,104000,0.6678,0,,Voluntary_Better_Offer,50.0
EMP_000222,Active,2018-01-27,,83,0.0144,106000,0.8696,0,,Still Active,49.7
EMP_000223,Terminated,2018-01-27,2019-04-28,15,-0.0806,93000,0.7913,0,,Voluntary_Better_Offer,54.0
EMP_000224,Terminated,2018-01-27,2024-05-28,76,0.1622,118000,0.799,0,,Voluntary_Personal,44.8
EMP_000225,Active,2018-01-27,,83,-0.0156,236000,0.9078,2,2023-12-28,Still Active,39.9
EMP_000226,Terminated,2018-01-27,2019-03-29,14,0.1449,156000,0.8158,0,,Voluntary_Better_Offer,46.3
EMP_000227,Terminated,2018-01-27,2018-07-28,6,0.0137,161000,0.5276,0,,Voluntary_Personal,62.4
EMP_000228,Terminated,2018-01-27,2018-07-28,6,0.036,141000,0.6583,0,,Voluntary_Better_Offer,51.7
